condition,stat,constant,direction,state,p
Dark room,Mean,-1,Positive,7,0.21576891570722115
Dark room,Mean,-1,Positive,8,0.327577132277097
Dark room,Mean,-1,Positive,9,0.4719701517505296
Dark room,Mean,-1,Positive,10,0.5532131507204529
Dark room,Mean,-1,Positive,11,0.4687324965751273
Dark room,Mean,-1,Negative,0,0.2304114883722572
Dark room,Mean,-1,Negative,1,0.20159179273632086
Dark room,Mean,-1,Negative,2,0.11148749549410232
Dark room,Mean,-1,Negative,3,0.014326760602062918
Dark room,Mean,-1,Negative,4,0.5769358836800952
Dark room,Mean,-1,Negative,5,0.5285229965504837
Dark room,Mean,-1,Negative,6,0.28991553019812544
Dark room,Mean,-1,Negative,7,0.5246961881617614
Dark room,Mean,-1,Negative,8,0.4018301096500936
Dark room,Mean,-1,Negative,9,0.26316267266627164
Dark room,Mean,-1,Negative,10,0.17134425278665857
Dark room,Mean,-1,Negative,11,0.08291725806251174
Dark room,Mean,0,Positive,0,0.5386670507461763
Dark room,Mean,0,Positive,1,0.4031601398128574
Dark room,Mean,0,Positive,2,0.43390133949744464
Dark room,Mean,0,Positive,3,0.5264350400339228
Dark room,Mean,0,Positive,4,0.022671272642895084
Dark room,Mean,0,Positive,5,0.15214443526658392
Dark room,Mean,0,Positive,6,0.24521886679714228
Dark room,Mean,0,Positive,7,0.21255777386982294
Dark room,Mean,0,Positive,8,0.3258357185893575
Dark room,Mean,0,Positive,9,0.4845872045570962
Dark room,Mean,0,Positive,10,0.5339813422307264
Dark room,Mean,0,Positive,11,0.4654748806557712
Dark room,Mean,0,Negative,0,0.23180298263452118
Dark room,Mean,0,Negative,1,0.19662072699002792
Dark room,Mean,0,Negative,2,0.10643291137038452
Dark room,Mean,0,Negative,3,0.014064813604047294
Dark room,Mean,0,Negative,4,0.5749304067508222
Dark room,Mean,0,Negative,5,0.5292917139778087
Dark room,Mean,0,Negative,6,0.2831915558210262
Dark room,Mean,0,Negative,7,0.5254604526790807
Dark room,Mean,0,Negative,8,0.37910058813579894
Dark room,Mean,0,Negative,9,0.2625484842175144
Dark room,Mean,0,Negative,10,0.1563198787565187
Dark room,Mean,0,Negative,11,0.07716381708511622
Dark room,Mean,1,Positive,0,0.538463975149429
Dark room,Mean,1,Positive,1,0.40660146928931257
Dark room,Mean,1,Positive,2,0.4324561078460152
Dark room,Mean,1,Positive,3,0.5322052688743243
Dark room,Mean,1,Positive,4,0.021991935535811167
Dark room,Mean,1,Positive,5,0.147219019710062
Dark room,Mean,1,Positive,6,0.24605977449447383
Dark room,Mean,1,Positive,7,0.21526483237164346
Dark room,Mean,1,Positive,8,0.336966763974561
Dark room,Mean,1,Positive,9,0.472820830456676
Dark room,Mean,1,Positive,10,0.5285488509123293
Dark room,Mean,1,Positive,11,0.45787879594503345
Dark room,Mean,1,Negative,0,0.2337228389330993
Dark room,Mean,1,Negative,1,0.19247535910087574
Dark room,Mean,1,Negative,2,0.10627385122191751
Dark room,Mean,1,Negative,3,0.01405694910421738
Dark room,Mean,1,Negative,4,0.5639435484164572
Dark room,Mean,1,Negative,5,0.5411563758458746
Dark room,Mean,1,Negative,6,0.28122887514769684
Dark room,Mean,1,Negative,7,0.5133229461097619
Dark room,Mean,1,Negative,8,0.37316424626874095
Dark room,Mean,1,Negative,9,0.2598568245133453
Dark room,Mean,1,Negative,10,0.15808190505529246
Dark room,Mean,1,Negative,11,0.07301082158884832
Dark room,Mean,2,Positive,0,0.5252838328452222
Dark room,Mean,2,Positive,1,0.4116028260289964
Dark room,Mean,2,Positive,2,0.43490299380459635
Dark room,Mean,2,Positive,3,0.5427446588303794
Dark room,Mean,2,Positive,4,0.021690699081366623
Dark room,Mean,2,Positive,5,0.15250345799590923
Dark room,Mean,2,Positive,6,0.24183612707911714
Dark room,Mean,2,Positive,7,0.20896546173636837
Dark room,Mean,2,Positive,8,0.34799768919002005
Dark room,Mean,2,Positive,9,0.46705125859600466
Dark room,Mean,2,Positive,10,0.5146138629918949
Dark room,Mean,2,Positive,11,0.45517626375406967
Dark room,Mean,2,Negative,0,0.23181300735384716
Dark room,Mean,2,Negative,1,0.18581673093353715
Dark room,Mean,2,Negative,2,0.10170509079804461
Dark room,Mean,2,Negative,3,0.01387453446774106
Dark room,Mean,2,Negative,4,0.5680400134537263
Dark room,Mean,2,Negative,5,0.5302128408044284
Dark room,Mean,2,Negative,6,0.3025976790222382
Dark room,Mean,2,Negative,7,0.506133265660032
Dark room,Mean,2,Negative,8,0.3581806022231026
Dark room,Mean,2,Negative,9,0.2651402255049256
Dark room,Mean,2,Negative,10,0.16351287670314268
Dark room,Mean,2,Negative,11,0.07162205623863613
Dark room,Mean,3,Positive,0,0.5401705435644963
Dark room,Mean,3,Positive,1,0.41186435921241976
Dark room,Mean,3,Positive,2,0.4357467479716401
Dark room,Mean,3,Positive,3,0.5343964091354497
Dark room,Mean,3,Positive,4,0.021521856324370682
Dark room,Mean,3,Positive,5,0.16186541219248612
Dark room,Mean,3,Positive,6,0.2525581505987803
Dark room,Mean,3,Positive,7,0.20524332741999193
Dark room,Mean,3,Positive,8,0.3329747223651265
Dark room,Mean,3,Positive,9,0.47068970413217587
Dark room,Mean,3,Positive,10,0.5195820605807635
Dark room,Mean,3,Positive,11,0.45966821714227085
Dark room,Mean,3,Negative,0,0.22559925148799062
Dark room,Mean,3,Negative,1,0.191203385676876
Dark room,Mean,3,Negative,2,0.1033534315557585
Dark room,Mean,3,Negative,3,0.014159720187043912
Dark room,Mean,3,Negative,4,0.5704240706158695
Dark room,Mean,3,Negative,5,0.5304723454794709
Dark room,Mean,3,Negative,6,0.29126221587938167
Dark room,Mean,3,Negative,7,0.5206514362062366
Dark room,Mean,3,Negative,8,0.3557008262259231
Dark room,Mean,3,Negative,9,0.25706731109458764
Dark room,Mean,3,Negative,10,0.16034454041978657
Dark room,Mean,3,Negative,11,0.06702294885406061
Dark room,Mean,4,Positive,0,0.5258721572957484
Dark room,Mean,4,Positive,1,0.40694367881917426
Dark room,Mean,4,Positive,2,0.4413113574307585
Dark room,Mean,4,Positive,3,0.5345009030148312
Dark room,Mean,4,Positive,4,0.021404146691993156
Dark room,Mean,4,Positive,5,0.16072854989415858
Dark room,Mean,4,Positive,6,0.24702971403618687
Dark room,Mean,4,Positive,7,0.20802169242199361
Dark room,Mean,4,Positive,8,0.32772909792107113
Dark room,Mean,4,Positive,9,0.47037663427657617
Dark room,Mean,4,Positive,10,0.5214413957354613
Dark room,Mean,4,Positive,11,0.45347672596053307
Dark room,Mean,4,Negative,0,0.23652237687855712
Dark room,Mean,4,Negative,1,0.18035721207660232
Dark room,Mean,4,Negative,2,0.1009699305628433
Dark room,Mean,4,Negative,3,0.014650678646567196
Dark room,Mean,4,Negative,4,0.5614554246061283
Dark room,Mean,4,Negative,5,0.5283806771317151
Dark room,Mean,4,Negative,6,0.29840520730064296
Dark room,Mean,4,Negative,7,0.5063044891268726
Dark room,Mean,4,Negative,8,0.3585879469479435
Dark room,Mean,4,Negative,9,0.24615761022680485
Dark room,Mean,4,Negative,10,0.15742175143214537
Dark room,Mean,4,Negative,11,0.06669501446422275
Dark room,Mean,5,Positive,0,0.5073111408549436
Dark room,Mean,5,Positive,1,0.4047342185271036
Dark room,Mean,5,Positive,2,0.4358923984330962
Dark room,Mean,5,Positive,3,0.5380266630372293
Dark room,Mean,5,Positive,4,0.021079616680117312
Dark room,Mean,5,Positive,5,0.15348845759560542
Dark room,Mean,5,Positive,6,0.2512853995377792
Dark room,Mean,5,Positive,7,0.20603019067654668
Dark room,Mean,5,Positive,8,0.3256869151153933
