condition,stat,constant,direction,state,p
Dark room,Mean,-1,Positive,7,0.48010069493149776
Dark room,Mean,-1,Positive,8,0.48000536013279355
Dark room,Mean,-1,Positive,9,0.5240708558148245
Dark room,Mean,-1,Positive,10,0.516532859036518
Dark room,Mean,-1,Positive,11,0.5285326461591102
Dark room,Mean,-1,Negative,0,0.44896077356670944
Dark room,Mean,-1,Negative,1,0.24552379863443258
Dark room,Mean,-1,Negative,2,0.4206848638372765
Dark room,Mean,-1,Negative,3,0.0654981237159213
Dark room,Mean,-1,Negative,4,0.6647394548719291
Dark room,Mean,-1,Negative,5,0.5407978348610883
Dark room,Mean,-1,Negative,6,0.4924243373173527
Dark room,Mean,-1,Negative,7,0.4944519746529954
Dark room,Mean,-1,Negative,8,0.5014528708531382
Dark room,Mean,-1,Negative,9,0.4547263359556433
Dark room,Mean,-1,Negative,10,0.46517003547897545
Dark room,Mean,-1,Negative,11,0.3808943078903596
Dark room,Mean,0,Positive,0,0.5303152659085953
Dark room,Mean,0,Positive,1,0.49508327073956016
Dark room,Mean,0,Positive,2,0.49838511734216034
Dark room,Mean,0,Positive,3,0.5866657847218911
Dark room,Mean,0,Positive,4,0.22053104559552336
Dark room,Mean,0,Positive,5,0.4158921478467674
Dark room,Mean,0,Positive,6,0.48082672888449407
Dark room,Mean,0,Positive,7,0.4747542194837226
Dark room,Mean,0,Positive,8,0.4802822196325809
Dark room,Mean,0,Positive,9,0.5262726685613838
Dark room,Mean,0,Positive,10,0.5167547806533934
Dark room,Mean,0,Positive,11,0.530560111416558
Dark room,Mean,0,Negative,0,0.43598885200542453
Dark room,Mean,0,Negative,1,0.24334817798344316
Dark room,Mean,0,Negative,2,0.41178764041348237
Dark room,Mean,0,Negative,3,0.053525133511050385
Dark room,Mean,0,Negative,4,0.6770505961911033
Dark room,Mean,0,Negative,5,0.5431202562911086
Dark room,Mean,0,Negative,6,0.49112656929597354
Dark room,Mean,0,Negative,7,0.49255914119034877
Dark room,Mean,0,Negative,8,0.4966985784159092
Dark room,Mean,0,Negative,9,0.44834874484732695
Dark room,Mean,0,Negative,10,0.4614015189153899
Dark room,Mean,0,Negative,11,0.3628747694370857
Dark room,Mean,1,Positive,0,0.5273369452707827
Dark room,Mean,1,Positive,1,0.49276864179245555
Dark room,Mean,1,Positive,2,0.49895663257553313
Dark room,Mean,1,Positive,3,0.5746849911320546
Dark room,Mean,1,Positive,4,0.20354401226426438
Dark room,Mean,1,Positive,5,0.40767568036404545
Dark room,Mean,1,Positive,6,0.47636084907402937
Dark room,Mean,1,Positive,7,0.46446574195708357
Dark room,Mean,1,Positive,8,0.48079262040174425
Dark room,Mean,1,Positive,9,0.5299856252571697
Dark room,Mean,1,Positive,10,0.5125529562090616
Dark room,Mean,1,Positive,11,0.5201023302804876
Dark room,Mean,1,Negative,0,0.4274362452072977
Dark room,Mean,1,Negative,1,0.23591485989050903
Dark room,Mean,1,Negative,2,0.4005427502596406
Dark room,Mean,1,Negative,3,0.04582841452574817
Dark room,Mean,1,Negative,4,0.6800591854722302
Dark room,Mean,1,Negative,5,0.5409504452142625
Dark room,Mean,1,Negative,6,0.49076301561532404
Dark room,Mean,1,Negative,7,0.49551599291493603
Dark room,Mean,1,Negative,8,0.4915444299044352
Dark room,Mean,1,Negative,9,0.4409782896069959
Dark room,Mean,1,Negative,10,0.4594776111655456
Dark room,Mean,1,Negative,11,0.35349865017596555
Dark room,Mean,2,Positive,0,0.5304701092585125
Dark room,Mean,2,Positive,1,0.49036595568285984
Dark room,Mean,2,Positive,2,0.5031612630615186
Dark room,Mean,2,Positive,3,0.570792841089163
Dark room,Mean,2,Positive,4,0.18656112753602175
Dark room,Mean,2,Positive,5,0.401887183797545
Dark room,Mean,2,Positive,6,0.4610030921806061
Dark room,Mean,2,Positive,7,0.4620395452986286
Dark room,Mean,2,Positive,8,0.4749350914421378
Dark room,Mean,2,Positive,9,0.5282665621317978
Dark room,Mean,2,Positive,10,0.5087651861749639
Dark room,Mean,2,Positive,11,0.5151776619169295
Dark room,Mean,2,Negative,0,0.4206943724153659
Dark room,Mean,2,Negative,1,0.22564505989488245
Dark room,Mean,2,Negative,2,0.3818420779496912
Dark room,Mean,2,Negative,3,0.04247012825294109
Dark room,Mean,2,Negative,4,0.6767269091545121
Dark room,Mean,2,Negative,5,0.538004190420851
Dark room,Mean,2,Negative,6,0.5001496249879772
Dark room,Mean,2,Negative,7,0.494198982692574
Dark room,Mean,2,Negative,8,0.4899091031090774
Dark room,Mean,2,Negative,9,0.4365614501545495
Dark room,Mean,2,Negative,10,0.45956080875845084
Dark room,Mean,2,Negative,11,0.34107920263148384
Dark room,Mean,3,Positive,0,0.5231192691630671
Dark room,Mean,3,Positive,1,0.4874474903376731
Dark room,Mean,3,Positive,2,0.4980224410827345
Dark room,Mean,3,Positive,3,0.546409308660131
Dark room,Mean,3,Positive,4,0.1655882642207113
Dark room,Mean,3,Positive,5,0.39697132958432324
Dark room,Mean,3,Positive,6,0.4581517438083235
Dark room,Mean,3,Positive,7,0.44824401412274967
Dark room,Mean,3,Positive,8,0.47967729743089405
Dark room,Mean,3,Positive,9,0.5321523081233491
Dark room,Mean,3,Positive,10,0.5105222652896751
Dark room,Mean,3,Positive,11,0.5097156438967843
Dark room,Mean,3,Negative,0,0.42310263332877707
Dark room,Mean,3,Negative,1,0.22347082277467334
Dark room,Mean,3,Negative,2,0.37131753504535897
Dark room,Mean,3,Negative,3,0.034015289066363655
Dark room,Mean,3,Negative,4,0.687618085016779
Dark room,Mean,3,Negative,5,0.5329406892491068
Dark room,Mean,3,Negative,6,0.49344812752623
Dark room,Mean,3,Negative,7,0.49923275101844306
Dark room,Mean,3,Negative,8,0.47874567787081934
Dark room,Mean,3,Negative,9,0.4252452892853664
Dark room,Mean,3,Negative,10,0.45847380454995845
Dark room,Mean,3,Negative,11,0.3396400889830566
Dark room,Mean,4,Positive,0,0.5262780216269191
Dark room,Mean,4,Positive,1,0.47990053233814256
Dark room,Mean,4,Positive,2,0.50041731230335
Dark room,Mean,4,Positive,3,0.5419411122053491
Dark room,Mean,4,Positive,4,0.15215610434506485
Dark room,Mean,4,Positive,5,0.3954044714447968
Dark room,Mean,4,Positive,6,0.44656085569286436
Dark room,Mean,4,Positive,7,0.4523362704715294
Dark room,Mean,4,Positive,8,0.46830006715105515
Dark room,Mean,4,Positive,9,0.5279474779040282
Dark room,Mean,4,Positive,10,0.49971741315236
